
Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty,
.59..27..........51.7..5......3....691..67....74.......8.1...2....5..1.424.9...5.,26,43,11,0,0,3,0,1,0,Expert,
...4..3...6...1.7.4.1....5...8...7....52...1.6..5..2......3.........81.323.6...47,25,58,27,4,0,0,1,6,6,Expert,
...6.....6....2...4.2.57...7.9.6.4..5....93.22...4...8..35........92...4..7..4..3,26,39,16,0,0,0,0,0,0,Easy,
.71.6......38.....2.4.93..........86.6.91.3..8....29..3..129....9.....6.7..3.....,26,69,13,0,1,4,2,4,4,Expert,
.7.6.24.3.......56..2.1.....2...9.6.3..1.....7.5....39.4.....21...9....79.6......,25,48,21,2,0,1,0,2,2,Expert,
.......8..6...4.....1...9..21..8........17..6..3...4......9....7.8....2.4.96..7..,21,78,27,4,2,7,0,5,6,Expert,
..4...3..1..8.....9.............8.....139...48.947...66.3..4.92...73..8....92.7..,26,89,11,2,0,1,1,8,12,Expert,
8....2........48.7..9........6.1..2......3....8.7.6...9...2.47...38..9.6471....3.,25,35,20,0,1,3,0,1,0,Expert,
.3.6.45.....8....29........4..9...36...1.2.....546.9.....2...15..3..1.4...6.....9,25,33,21,2,0,1,0,2,0,Expert,
.8....1..6.4....9.9.28.4..6...7...29.........8...56.....9..8.7....97..5....462...,25,45,11,0,0,0,0,0,0,Easy,
..2.1.9.5....58..1..64......4.19...38.....2..91....6....4...5.....58...2....4....,24,32,29,0,0,0,0,2,2,Expert,
3.6.4.5....28.6.3.94..2.....6.5.2....39......5.....1......19.2...5..8.9.2.4......,26,35,19,1,0,3,0,1,0,Expert,
..9...6.2..1..84..4.7...5..5.....164....6.....7...4..9..4.85.2.8....19.....6...81,27,56,12,1,0,1,1,2,2,Expert,
...........4...25.5.....687........2.7..5........821794.1.7...5..7.9....6.841....,25,50,6,1,0,0,0,0,0,Intermediate,
...4..91..8..6..2.9..2.8..34.3..7.9.....1..4.21....3.7..8............1....7.81..4,26,47,8,0,0,0,0,0,0,Easy,
..531........2.....64..5.......41....9.8.....623....8......4.38.389..4..5.....92.,25,53,3,0,0,0,0,0,0,Easy,
.....2..8......1....3.58.27.7..95..........9...5.3.8....7.....9..81.65......2..6.,23,45,13,1,0,0,0,0,0,Intermediate,
.........72.581...4.1.7......4....7...3.4....8..6.51...3.4.7...26.....5.....52.8.,25,42,14,0,0,0,0,0,0,Easy,
58....7...7...14.5...6.......1.......6....35.853....14.....4..3..4.2857......78..,26,41,14,3,0,0,0,0,0,Intermediate,
.9.....56..5..6..16.1....893.9.62.....65981.....3.....97.....3.5...........257..8,28,32,19,2,1,2,1,2,0,Expert,
