Iteration,Temp,Cost
0,100,40
1,100.0,40
2,99.5029950044979,40
3,99.00797603996482,40
4,98.51493714831379,42
5,98.023872383386,41
6,97.53477581093875,43
7,97.04764150863352,44
8,96.56246356602402,42
9,96.0792360845443,41
10,95.59795317749672,43
11,95.11860897004,44
12,94.64119759917732,42
13,94.16571321374434,42
14,93.69214997439722,43
15,93.22050205360074,43
16,92.75076363561625,42
17,92.28292891648982,43
18,91.81699210404025,43
19,91.35294741784702,44
20,90.89078908923854,44
21,90.43051136128001,44
22,89.97210848876155,46
23,89.51557473818625,47
24,89.06090438775824,45
25,88.60809172737065,46
26,88.15713105859375,46
27,87.70801669466294,47
28,87.26074296046686,47
29,86.81530419253535,48
30,86.37169473902756,47
31,85.92990895972,47
32,85.48994122599456,49
33,85.05178592082657,48
34,84.61543743877286,50
35,84.18089018595977,49
36,83.74813858007124,48
37,83.31717705033688,47
38,82.88800003751989,46
39,82.46060199390527,45
40,82.03497738328778,43
41,81.61112068096,45
42,81.18902637370039,43
43,80.76868895976129,45
44,80.35010294885707,45
45,79.93326286215209,43
46,79.51816323224875,40
47,79.1047986031756,38
48,78.6931635303753,38
49,78.28325258069279,41
50,77.87506033236319,40
51,77.468581375,42
52,77.063810309583,41
53,76.66074174844641,43
54,76.2593703152669,44
55,75.85969064505161,44
56,75.46169738412625,42
57,75.06538519012311,39
58,74.67074873196911,41
59,74.27778268987392,39
60,73.88648175531782,39
61,73.49684063104,39
62,73.10885403102641,39
63,72.72251668049793,39
64,72.33782331589832,41
65,71.95476868488234,43
66,71.57334754630375,44
67,71.19355467020343,46
68,70.81538483779735,46
69,70.43883284146463,45
70,70.06389348473564,42
71,69.69056158228,42
72,69.31883195989464,41
73,68.94869945449184,42
74,68.58015891408733,43
75,68.21320519778826,44
76,67.84783317578125,43
77,67.48403772932056,43
78,67.12181375071597,42
79,66.76115614332095,44
80,66.40205982152067,43
81,66.04451971072001,41
82,65.68853074733167,41
83,65.33408787876418,40
84,64.98118606340996,41
85,64.62982027063337,43
86,64.27998548075874,44
87,63.93167668505846,45
88,63.58488888574098,44
89,63.23961709593886,45
90,62.89585633969688,48
91,62.55360165196,47
92,62.21284807856148,48
93,61.87359067621089,47
94,61.53582451248217,46
95,61.19954466580169,46
96,60.86474622543625,45
97,60.53142429148118,42
98,60.19957397484839,42
99,59.869190397254386,42
100,59.5402686912083,41
101,59.21280399999999,39
102,58.88679147768809,41
103,58.562226289088,40
104,58.239103609759994,41
105,57.91741862599721,44
106,57.597166534813745,45
107,57.27834254393271,42
108,56.960941871774224,42
109,56.6449597474435,44
110,56.33039141071892,43
111,56.01723211203999,43
112,55.705477112495515,43
113,55.395121683811524,42
114,55.08616110833941,41
115,54.77859067904392,38
116,54.47240569949125,37
117,54.16760148383703,40
118,53.86417335681443,41
119,53.56211665372222,41
120,53.26142672041273,41
121,52.962098913279995,43
122,52.66412859924774,44
123,52.36751115575745,43
124,52.07224197075643,42
125,51.77831644268585,43
126,51.48572998046875,43
127,51.19447800349815,42
128,50.904555941625055,44
129,50.61595923514654,44
130,50.32868333479375,45
131,50.04272370171999,43
132,49.75807580748875,45
133,49.47473513406177,45
134,49.19269717378705,46
135,48.911957429386966,46
136,48.63251141394625,44
137,48.35435465090006,44
138,48.07748267402208,42
139,47.801891027412466,43
140,47.52757526548597,43
141,47.254530952959996,44
142,46.982753664842576,45
143,46.71223898642049,44
144,46.44298251324727,43
145,46.17497985113128,45
146,45.90822661612375,45
147,45.64271843450678,45
148,45.3784509427815,43
149,45.11541978765599,42
150,44.8536206260334,43
151,44.59304912499999,44
152,44.3337009618132,42
153,44.075571823889604,42
154,43.818657408793094,40
155,43.562953424222805,38
156,43.308455588001245,38
157,43.055159628062306,38
158,42.803061282439316,37
159,42.552156299253106,34
160,42.30244043670002,33
161,42.05390946303999,33
162,41.80655915658462,35
163,41.56038530568513,39
164,41.31538370872052,37
165,41.07155017408552,37
166,40.82888052017875,36
167,40.58737057539063,36
168,40.347016178091536,38
169,40.10781317661982,39
170,39.86975742926984,38
171,39.63284480428,40
172,39.39707117982084,42
173,39.16243244398305,45
174,38.92892449476553,42
175,38.69654324006345,41
176,38.46528459765624,44
177,38.23514449519575,44
178,38.00611887019416,45
179,37.77820367001215,46
180,37.55139485184686,48
181,37.325688382719996,44
182,37.10108023946586,43
183,36.87756640871937,42
184,36.65514288690415,43
185,36.433805680220566,43
186,36.21355080463375,41
187,35.99437428586167,42
188,35.77627215936318,42
189,35.55924047032606,39
190,35.343275273655074,40
191,35.12837263396,41
192,34.914528625543674,41
193,34.70173933239009,42
194,34.49000084815237,40
195,34.279309276140886,40
196,34.06966072931125,41
197,33.86105133025239,42
198,33.653477211174604,41
199,33.44693451389759,42
200,33.2414193898385,44
201,33.036927999999996,43
202,32.8334565149583,45
203,32.63100111485121,43
204,32.429557989366195,41
205,32.22912333772841,41
206,32.02969336868875,43
207,31.831264300511908,44
208,31.63383236096442,44
209,31.437393787302703,42
210,31.241944826261115,42
211,31.047481734039998,43
212,30.854000776293717,42
213,30.661498228118727,46
214,30.469970374041615,45
215,30.279413508007128,47
216,30.089823933366247,45
217,29.901197962864227,44
218,29.713531918628643,43
219,29.526822132157424,44
220,29.341064944306936,46
221,29.156256705279997,46
222,28.972393774613938,46
223,28.789472521168648,46
224,28.607489323114635,47
225,28.42644056792105,47
226,28.24632265234375,45
227,28.067131982413347,43
228,27.888864973423264,41
229,27.711518049917743,41
230,27.535087645679955,40
231,27.359570203719997,41
232,27.184962176262957,41
233,27.011260024736973,43
234,26.838460219761256,42
235,26.666559241134166,42
236,26.49555357782125,41
237,26.32543972794327,41
238,26.15621419876428,41
239,25.987873506679662,41
240,25.820414177204178,41
241,25.65383274496,42
242,25.48812575366478,44
243,25.323289756119692,43
244,25.159321314197474,41
245,24.996216998830487,40
246,24.833973389998746,43
247,24.67258707671799,43
248,24.5120546570277,45
249,24.352372737979184,48
250,24.193537935623596,49
251,24.035546874999998,49
252,23.8783961901234,48
253,23.72208252397281,48
254,23.566602528479294,47
255,23.411952864514006,49
256,23.25813020187625,48
257,23.10513121928151,48
258,22.95295260434952,49
259,22.801591053592304,49
260,22.651043272402216,49
261,22.501305975039998,48
262,22.352375884622816,50
263,22.20424973311233,51
264,22.056924261302715,50
265,21.910396218808728,50
266,21.76466236405375,50
267,21.619719464257827,51
268,21.47556429542574,53
269,21.332193642335024,51
270,21.189604298524035,52
271,21.047793066279997,51
272,20.906756756627036,50
273,20.76649218931425,49
274,20.626996192803734,47
275,20.488265604258647,48
276,20.350297269531247,49
277,20.213088043150947,49
278,20.076634788312358,49
279,19.940934376863346,50
280,19.805983689293058,50
281,19.67177961472,52
282,19.53831905088006,53
283,19.40559890411457,51
284,19.273616089358356,50
