
Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
3..9.....8.71.....1..4.72..4.5...9.....28....98....31..415...2.....4..5...9......,25,59,16,0,0,0,0,5,4,Expert
....478.......2..75...3..1...147.39..4.....5....1...28.52..3....8.7.........51...,25,34,22,0,0,0,0,0,0,Easy
.....72.1.9...6..8.21..9..5.897..6.............6.82459....6.....75....24.........,25,42,14,3,0,2,0,0,0,Intermediate
......96....7.83.43.5.......9.8.1..7..8....1...7...5.9.139..4.6....6.....49...7..,26,50,5,0,0,0,0,0,0,Easy
...5....71.2......7....3.4..27.1..65.5..8.3.....4..2.8.3..4...2...6...5...4..5..6,26,57,23,0,0,0,0,3,2,Expert
.....98..64..7...........4..9..23.8......1.2...28...14.2..3...7.7.6....93.6......,24,69,7,0,1,4,1,3,2,Expert
......7.29....2...4..........6.439..2..5..36...4....516...54.3.1....6....2..37.9.,26,35,20,0,0,0,0,0,0,Easy
8....76.......5...56.3..4....623...93......5879..5...6..26......3.4..9..4........,25,53,3,0,0,0,0,0,0,Easy
1987..............67..15......25.3.95....961.....6..2.3....8165......8...1.....9.,26,136,27,3,1,1,1,15,14,Expert
..9.4....1268....7...1...2.2.45........9.....578.2..1..61..74..9......5...7.1....,26,28,27,0,0,0,0,0,0,Easy
