Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
2...5.....7..6..5...6.....8......9.29.3..8.......7.6...5...2.6...23..7...4.7.5..9,24,38,16,3,0,0,0,3,0,Expert
.23.64....5...7..24.1.5.7.........2.......5.1...2..6435.8.3..6......1..8...4...7.,26,47,7,0,1,2,0,1,0,Expert
.2....9..73.8.....58...9.3..62...75.97.54.6.....2.6.4......8....5....4.3.......26,27,65,26,1,0,2,0,6,8,Expert
5.......3.13.79...6.7.8....76...........9.....5.143.....8.3...6.....6..1.3.8..4.9,25,46,13,2,0,0,1,2,2,Expert
1..7...5..5....2.373...4..9...16...44.5.7..2.......3.5.....9.6.....26...2...4....,25,31,24,0,0,0,0,1,0,Expert
...35....5...72..4..2...9.71......3..2..3.1.9.78.1.....9.4.......3..8...85.......,24,81,17,2,1,1,2,9,8,Expert
.7...4..13.2.5.....4..9..8........74.....29.8.9..4.............9..13.7..4.3..82.9,25,63,20,2,0,2,0,8,4,Expert
7...9.2.......16..4....7.352...7...6.6............24...7..2......4.6.3.9.53..9.4.,25,39,15,0,0,0,1,2,0,Expert
2.....8..1...4..3.....6...44.289.....7..13...83.....6......73....1.349...6.....7.,25,90,13,2,0,1,0,5,4,Expert
.............21964....9481.8...1..9.....6.2...96.48..1.4......8......75.5...7.6..,26,54,13,3,1,2,0,3,2,Expert
