Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
9.2.1.6.......3..1..15....9.....8.3..6.....8...3.......5982...46....5.2.2..1....3,25,39,17,0,0,0,0,0,0,Easy
.24..3......26....6.7..5.215...............7....1.78.3.........841.....7.62.4.58.,25,54,14,0,0,1,0,2,2,Expert
..8...4.37.....69..4.6..8.2..2..8........3...6..9..........9..4.732....82...569..,25,46,21,1,0,0,0,2,2,Expert
.....4.8..1.....6..749.5...16......89...58..785.....31.8..3..............3.2.6...,24,42,22,2,0,1,0,3,2,Expert
.3...........1.78.5..4...13.7............6...312...4..7..2...6.18.....7.4..1..3..,23,31,26,1,1,1,0,1,0,Expert
5...8....9.46..8...7.94...546..572.......34..7......53.......34......9..3...7..62,27,39,15,0,0,0,0,0,0,Easy
....6158..84.....1....4.93..97.........3......31....9.96....4.5.....58..47...8...,25,48,8,0,0,0,0,0,0,Easy
95..3..474....92...1......8..9....2.3.1.8....74...5......4.....293...15........9.,25,38,18,0,0,0,0,0,0,Easy
...85.9............819..4........18..9.....5.....2.....4827..9..1..6...27.61.58..,25,69,14,0,0,1,0,5,4,Expert
9.6..48.5.3...9.1..178.......83.....7.....6..........86.375.4.......6..35..9...8.,26,44,11,0,0,0,0,0,0,Easy
