Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
....97..6.4..6.2..5......4......6.5....8.5964........2....3....9.8...7..754..9.8.,25,35,21,2,0,0,0,0,0,Intermediate
638.....9.71......2....4.6..8..1.........938.3.....7.....6..14..1.7.8.9..4.......,24,32,25,1,0,0,0,0,0,Intermediate
.8.1..3.547.....1.1.3..68......3..9...9..........4.7.....6..13..4...5.87.9..1..6.,26,40,15,4,0,0,0,0,0,Intermediate
3.9..2........3.5...59..8...3.....7....5.....4..8.......4...7.9.2....4...58.7..62,23,30,28,2,0,0,0,0,0,Intermediate
...58..19.357.....8...1...32.91.5.....7.6..........2...5..7...6....5.8.....3.17..,25,42,14,4,2,3,0,0,0,Intermediate
...........4..6.3..6..1..9.........9..1....4..49.2.1657..5...14.362.7....9..3...7,26,45,10,2,0,0,0,0,0,Intermediate
7.3...6...5......8.8.46.5...1.5..9.4.49.8..13..........9.....7.......8.14.8....95,26,45,10,1,0,0,0,0,0,Intermediate
2.6.....71..2..9....8.34.......7214....6........1....861.9.73.......38....4......,24,37,20,1,0,0,0,0,0,Intermediate
.....3..13..684.....65...4.8.....5...........26...7........5..348..7..5.73.8..6..,24,38,19,1,1,1,0,0,0,Intermediate
.6...13.....9.2.16.3......742.........75...32....4.5...4............92..51...6.9.,24,48,9,1,0,0,0,0,0,Intermediate
