Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
3.4..5..1.5...86..8..96......9............5..6...1.....9.3......3..8942...2..4.5.,24,57,0,0,0,0,0,0,0,Simple
.584.......6.1.87997......41..9..5.62.4..7..1.6...1..........85............2.8.6.,26,55,0,0,0,0,0,0,0,Simple
6.7..41........8......82.4.89..6..24......6..25.....8.71.....95.49............7.1,25,56,0,0,0,0,0,0,0,Simple
.....16....2.......8.........7.2.8...6...354.3.1..42.....6..4..67.15...8853..2.6.,27,54,0,0,0,0,0,0,0,Simple
...52..13.......74.....38...4...7.85...1.5.........1.6...4.....25...86.1..87..2..,25,56,0,0,0,0,0,0,0,Simple
.....9..7.5..6...2.4.1.2...9.........2598..1...1.4......6.......9.8.7...187.26...,25,56,0,0,0,0,0,0,0,Simple
......172.8...16..97.......24.............7.8..3.1.96.7..4.32...34........6...8..,24,57,0,0,0,0,0,0,0,Simple
...6.......1..3.....4...6....8...5.1.362..84.21.9.8.....3..21.48....136......9.8.,27,54,0,0,0,0,0,0,0,Simple
.....9.1...584......1.3..2.....83...36......15..62.9............9.56..8..84.1...3,25,56,0,0,0,0,0,0,0,Simple
5..3....4.1..5...7.....7...7....52...5.9.6...4.21.....64...9...3.....6...954.1...,25,56,0,0,0,0,0,0,0,Simple
